,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
ap_trapname3,9999 Rupees,,,,,,,,,,,,,
ap_trapname4,Debug Mode,,,,,,,,,,,,,
ap_trapname5,Instant Victory,,,,,,,,,,,,,
ap_trapname6,Unlimited Resources,,,,,,,,,,,,,
ap_trapname7,Unlimited Power,,,,,,,,,,,,,
ap_trapname8,Infinite Energy,,,,,,,,,,,,,
ap_trapname9,Unlimited Food,,,,,,,,,,,,,
ap_trapname10,The Best Item Ever,,,,,,,,,,,,,
ap_pedestal_error_name,This is an error.,,,,,,,,,,,,,
ap_pedestal_error_description,Starting a new run should fix this.,,,,,,,,,,,,,
perk_ap_leggy_feet,AP Leggy Feet,,,,,,,,,,,,,
perkdesc_ap_leggy_feet,"You grow disturbing looking, colourful limbs that fight for you.",,,,,,,,,,,,,
perk_ap_chest_radar,AP Chest Radar,,,,,,,,,,,,,
perkdesc_ap_chest_radar,"Senses nearby Archipelago chests and pedestal checks, pointing the way to ones you haven't collected yet.",,,,,,,,,,,,,
ap_portal_from_egg,Portal to the Mountain entrance,,,,,,,,,,,,,
ap_portal_to_egg,Portal to the Archipelago egg,,,,,,,,,,,,,
ap_locked,Locked,,,,,,,,,,,,,
ap_closed_portal,Locked portal,,,,,,,,,,,,,
ap_closed_portal_desc,Requires: Progressive Holy Mountain Portal,,,,,,,,,,,,,
ap_locked_perk_reroll,Locked perk reroll,,,,,,,,,,,,,
ap_locked_perk_reroll_desc,Requires: Perk Reroll,,,,,,,,,,,,,
ap_perk_reroll_desc,Unlocks perk reroll machine,,,,,,,,,,,,,
ap_perk_reroll_discount,Perk reroll discount,,,,,,,,,,,,,
ap_perk_reroll_discount_desc,10% discount on perk rerolls,,,,,,,,,,,,,
ap_trap_triggered,Received $0 from $1,,,,,,,,,,,,,
ap_trap_triggered_desc,Trap link triggered by $0,,,,,,,,,,,,,
ap_deathlink_triggered,Death link was triggered,,,,,,,,,,,,,
ap_trap_poly_self,Polymorph Trap,,,,,,,,,,,,,
ap_trap_stun,Stun Trap,,,,,,,,,,,,,
ap_trap_confusion,Confuse Trap,,,,,,,,,,,,,
ap_trap_on_fire,Fire Trap,,,,,,,,,,,,,
ap_trap_teleport,Teleport Trap,,,,,,,,,,,,,
ap_trap_poison,Poison Trap,,,,,,,,,,,,,
ap_trap_chaos_fungal_shift,Chaos Fungal Trap,,,,,,,,,,,,,
ap_animal_bee,Bee,пчела́,abelha,abeja,Biene,abeille,ape,pszczoła,蜜蜂,蜂,벌,,,
ap_trap_bees,Bee Trap,,,,,,,,,,,,,
ap_trap_freeze,Ice Trap,,,,,,,,,,,,,
ap_trap_chilled,Frost Trap,,,,,,,,,,,,,
ap_trap_tnt,TNT Trap,,,,,,,,,,,,,
ap_trap_tnt_barrel,TNT Barrel Trap,,,,,,,,,,,,,
ap_trap_144p,Pixelate Trap,,,,,,,,,,,,,
ap_trap_flip_vertical,Flip Vertical Trap,,,,,,,,,,,,,
ap_trap_flip_horizontal,Flip Horizontal Trap,,,,,,,,,,,,,
ap_trap_zoom_in,Zoom In Trap,,,,,,,,,,,,,
ap_trap_zoom_out,Zoom Out Trap,,,,,,,,,,,,,
ap_trap_fisheye,Fish Eye Trap,,,,,,,,,,,,,
ap_trap_invert_colour,Invert Colours Trap,,,,,,,,,,,,,
ap_trap_random_status,Random Status Trap,,,,,,,,,,,,,
ap_trap_instant_damage,Damage Trap,,,,,,,,,,,,,
ap_trap_instant_death,Instant Death Trap,,,,,,,,,,,,,
ap_trap_one_hp,One Hit KO Trap,,,,,,,,,,,,,
ap_trap_invisible_bad,Invisible Trap,,,,,,,,,,,,,
ap_trap_mana_drain,Mana Drain Trap,,,,,,,,,,,,,
ap_trap_poly_frog,Frog Trap,,,,,,,,,,,,,
ap_trap_extreme_chaos,Extreme Chaos Mode,,,,,,,,,,,,,
ap_trap_radioactive,Radiation Trap,,,,,,,,,,,,,
ap_trap_throw_selected,Whoops!,,,,,,,,,,,,,
ap_trap_empty_item_box,Empty Item Box Trap,,,,,,,,,,,,,
ap_trap_eject_ability,Spells Ejected,,,,,,,,,,,,,
ap_trap_double_damage,Double Damage Trap,,,,,,,,,,,,,
ap_trap_dryspell,Dryspell,,,racha seca,,,,posucha,,,,,,
ap_trap_dryspell_desc,Dries liquids around you!,,,,,,,,,,,,,
ap_trap_camera_rotate,Rotate Camera Trap,,,,,,,,,,,,,
ap_trap_sheep_sfx,Aaaaaaaaaaaaaaaaaaa,,,,,,,,,,,,,
ap_trap_become_speed,Become Speed,,,,,,,,,,,,,
ap_trap_become_speed_desc,I AM SPEED,,,,,,,,,,,,,
ap_trap_spell_shuffle,Scrambled wands,,,,,,,,,,,,,
ap_trap_spell_shuffle_desc,Sorry not sorry,,,,,,,,,,,,,
ap_trap_sticky_ground,Sticky Floor Trap,,,,,,,,,,,,,
ap_trap_meteor,Meteor Trap,,,,,,,,,,,,,
ap_trap_stick_drift,Controller Drift Trap,,,,,,,,,,,,,
ap_trap_jump,Jump Trap,,,,,,,,,,,,,
ap_trap_underwater,Underwater Trap,,,,,,,,,,,,,
ap_trap_lag,Lag Trap,,,,,,,,,,,,,
ap_trap_monkey_mash,Monkey Mash Trap,,,,,,,,,,,,,
ap_trap_wide,W I D E,Ш И Р О́ К И Й,L A R G O,A N C H O,B R E I T,L A R G E,L A R G O,S Z E R O K I,寬,広い,넓다,,,
ap_trap_tiny,Tiny Trap,,,,,,,,,,,,,
ap_animal_thwimp,Thwimp,Бимс,Granitito,Piedra Picuda,Mini-Wummp,Thwimp,Twimp,,哐咚,コトン,콩콩,,,
ap_trap_spawn_thwimp,Thwimp Trap,,,,,,,,,,,,,
ap_trap_spooky,Spooky Time,,,,,,,,,,,,,
ap_trap_animal_spawn,Animal Bonus!,,,,,,,,,,,,,
ap_trap_blindness,Blindness,слепота́,cegueira,ceguera,Blindheit,cécité,cecità,ślepota,盲目性,盲目,장님,,,
ap_trap_spells_to_bombs,Spells to Bombs,,,,,,,,,,,,,
ap_trap_spells_to_bombs_desc,Spells are converted to bombs.,,,,,,,,,,,,,
ap_trap_earthquake,Earthquake!,Землетрясение,Terremoto,Terremoto,Erdbeben,Séisme,Terremoto,Trzęsienie ziemi,地震,地震,지진,,,
ap_trap_fracture,Fracture Trap,,,,,,,,,,,,,
ap_trap_literature,Literature Trap,,,,,,,,,,,,,
ap_literature_1_name,Welcome to The Noita Wiki,Добро пожаловать на Noita Вики,,,,Bienvenue sur le wiki de Noita,,,欢迎来到Noita中文Wiki,ようこそ！ Noita Wikiへ,Noita 위키에 오신걸 환영합니다,,,
ap_literature_1_desc,"Noita is a magical action rogue-lite set in a world where every pixel is physically simulated. Fight, explore, melt, burn, freeze and evaporate your way through the procedurally generated world using spells you've collected and combined however you want.","Noita — магический боевик с элементами «roguelike» в мире с физическим моделированием каждого пикселя. Вам предстоит сражаться с врагами, исследовать различные места, расплавлять, сжигать, замораживать и испарять препятствия на пути по процедурно генерируемому миру, используя самостоятельно созданные заклинания. В поисках неизвестных тайн вы будете погружаться всё глубже — от угольных шахт до замерзших пустынь.",,,,"Noita est un jeu rogue-lite magique se déroulant dans un monde où chaque pixel est simulé physiquement. Combattez, explorez, fondez, brûlez, congelez et évaporez-vous à travers un monde généré de manière procédurale, en utilisant les baguettes que vous aurez créées.",,,《Noita》是一款 Rogue-lite 的魔法动作游戏，在《Noita》的世界中，所有像素都有物理模拟。您可使用法术创造您自己的法杖，在逐步生成的世界上一路探索、与敌人战斗。焚烧、熔毁、冰冻和蒸发不同的材料，利用、炼制不同的魔药。打开自己的前路，探索多样的环境，从煤矿到寒冷废土，深入寻求未知的神秘。,Noitaはすべてのピクセルが物理演算される世界で遊ぶ「魔法アクションローグライト」ゲームです。敵と戦ったり、探検したり。溶かし、燃やし、凍らせ、蒸発させ、そのたびに変化するワールドを、自分自身で作り上げた魔法で突き進みましょう！,"Noita는 모든 픽셀이 물리적으로 렌더링되는 세계에서 진행되는 마법 액션 로그라이트입니다. 절차적으로 생성되는 세계에서 직접 만들어낸 마법으로 전투와 탐험을 하고, 녹이고, 태우고, 얼리고, 증발시키며 앞으로 나아가세요.",,,
ap_literature_2_name,Welcome to Archipelago!,,,,,,,,,,,,,
ap_literature_2_desc,"This is a cross-game modification system which randomizes different games, then uses the result to build a single unified multi-player game. Items from one game may be present in another, and you will need your fellow players to find items you need in their games to help you complete your own.",,,,,,,,,,,,,
ap_literature_3_name,Noita Setup Guide,,,,,,,,,,,,,
ap_literature_3_desc,"Here you should see your game files and a folder called mods. Create a folder called archipelago and place all files from within the zip folder directly into the archipelago folder. After starting Noita, select the Mods menu. Here you should see the Archipelago mod listed.  In order to enable the mod you will first need to toggle Unsafe mods from Disabled to Allowed. This is required, as some external libraries are used by the mod in order to communicate with the Archipelago server. Once that is done, you can now enable the Archipelago mod (it should have an [x] next to it).",,,,,,,,,,,,,
ap_trap_explosion,Explosion Trap,,,,,,,,,,,,,
ap_trap_worm_egg,Egg Trap,,,,,,,,,,,,,
ap_trap_swapper_curse,Swapper Curse,,,,,,,,,,,,,
ap_trap_food_poisoning,Food Poisoning,пищево́е отравле́ние,,intoxicación alimentaria,Lebensmittelvergiftung,Intoxication Alimentaire,,zatrucie pokarmowe,食物中毒,食中毒,식중독,,,
ap_trap_pea_soup,Pea Soup Trap,,,,,,,,,,,,,
ap_trap_banana,Banana Peels,,,,,,,,,,,,,
ap_hint_col_receiver,Receiving Player,,,,,,,,,,,,,
ap_hint_col_item,Item,,,ítem,Gegenstand,objet,oggetto,,寶物,物品,아이템,,,
ap_hint_col_finder,Finding Player,,,,,,,,,,,,,
ap_hint_col_location,Location,положе́ние,local,ubicación,Platz,emplacement,posizione,miejsce,地點,場所,위치,,,
ap_hint_col_entrance,Entrance,вход,entrada,entrada,Eingang,entrée,entrata,wejście,入口,入口,입구,,,
ap_hint_col_status,Status,положе́ние,status,status,Stand,statut,stato,stan,狀態,状態,상태,,,
ap_hint_status_unspecified,Unspecified,,,,,,,,,,,,,
ap_hint_status_no_priority,No Priority,,,,,,,,,,,,,
ap_hint_status_avoid,Avoid,избега́ть,evitar,evitar,Meiden,éviter,evitare,unikać,避免,避ける,꺼리다,,,
ap_hint_status_priority,Priority,приорите́т,prioridade,prioridad,Priorität,priorité,priorità,priorytet,優先權,優先,우선,,,
ap_hint_status_found,Found,,,,,,,,,,,,,
ap_damagelink_received,Received $0 damage from $1,,,,,,,,,,,,,
ap_textinput_instruction,Mouse over to type,,,,,,,,,,,,,
ap_knockbacklink_received,"$0 shared their knockback, cause by $1",,,,,,,,,,,,,
ap_knockbacklink_immune,"$0 tried sharing knockback with you, but you’re immune!",,,,,,,,,,,,,
